name,price,category,color,product_url,image_link
Nike Dunk Low Retro,$110,Men's Shoes,2 Colors,https://www.nike.com/t/dunk-low-retro-mens-shoes-76KnBL/DV0831-104,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/48ef0c32-8a7b-4588-8256-81a8c731cd16/dunk-low-retro-mens-shoes-76KnBL.png"
Nike Dunk Low By You,$150,Custom Shoes,6 Colors,https://www.nike.com/u/custom-nike-dunk-low-by-you-shoes-10001477/9708435393,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/b4a93d41-c41c-42ab-8294-3823695e0086/custom-nike-dunk-low-by-you-shoes.png"
"Sabrina 1 ""Spark""",$130,Basketball Shoes,,https://www.nike.com/t/sabrina-1-spark-basketball-shoes-f8jr2H/FQ3381-501,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/40d5a277-2ea8-4df8-9c54-fe3ae3dcf803/sabrina-1-spark-basketball-shoes-f8jr2H.png"
KD16,$150,Basketball Shoes,3 Colors,https://www.nike.com/t/kd16-basketball-shoes-H3gcDG/DV2917-401,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d5eb2104-3552-41c8-94f9-db2580a955c0/kd16-basketball-shoes-H3gcDG.png"
Nike InfinityRN 4,$160,Men's Road Running Shoes,9 Colors,https://www.nike.com/t/infinityrn-4-mens-road-running-shoes-4hKwJW/DR2665-100,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/fb5ad585-ec9c-4ab6-ab6f-b0b6b50235a4/infinityrn-4-mens-road-running-shoes-4hKwJW.png"
,,,,,None
Nike Invincible 3,$180,Men's Road Running Shoes,7 Colors,https://www.nike.com/t/invincible-3-mens-road-running-shoes-4xHjXL/DR2615-002,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e9f8c612-0b6b-4e4e-aaf8-af0d8b88b40c/invincible-3-mens-road-running-shoes-4xHjXL.png"
Nike Air Max Pulse,$150,Men's Shoes,6 Colors,https://www.nike.com/t/air-max-pulse-mens-shoes-DWTVpN/FN7459-002,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/61051bd6-196b-4afb-9946-cdd2c30bf658/air-max-pulse-mens-shoes-DWTVpN.png"
Nike Air Force 1 '07,$115,Men's Shoes,5 Colors,https://www.nike.com/t/air-force-1-07-mens-shoes-rXkGJX/DV0788-105,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/3f7ee856-f184-497a-9d4a-96e7c7380dab/air-force-1-07-mens-shoes-rXkGJX.png"
Nike Lunar Force 1,$185,Men's Duckboot,1 Color,https://www.nike.com/t/lunar-force-1-mens-duckboot-0Q9Vd2/DZ5320-001,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/89a91ebd-3e3d-4550-b10d-561f6ebba30a/lunar-force-1-mens-duckboot-0Q9Vd2.png"
Nike Air Pegasus '89,$105,Men's Shoes,2 Colors,https://www.nike.com/t/air-pegasus-89-mens-shoes-wKqcHV/FB8900-100,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/86abdf06-d919-4aab-8c1b-e59c033d08b8/air-pegasus-89-mens-shoes-wKqcHV.png"
Nike P-6000,$120,Shoes,4 Colors,https://www.nike.com/t/p-6000-shoes-XkgpKW/FN7509-029,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/87109660-6b0e-441b-b93a-c6a8c6988bc9/p-6000-shoes-XkgpKW.png"
Nike Tech Hera,$110,Men's Shoes,5 Colors,https://www.nike.com/t/tech-hera-mens-shoes-kd77nb/FJ9532-101,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/909089ee-5c78-4925-a1fb-5de52e337930/tech-hera-mens-shoes-kd77nb.png"
Nike Air Force 1 '07,$110,Men's Shoes,4 Colors,https://www.nike.com/t/air-force-1-07-mens-shoes-jBrhbr/CW2288-111,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e6da41fa-1be4-4ce5-b89c-22be4f1f02d4/air-force-1-07-mens-shoes-jBrhbr.png"
Nike Blazer Mid '77 Vintage,$105,Men's Shoes,6 Colors,https://www.nike.com/t/blazer-mid-77-vintage-mens-shoes-nw30B2/BQ6806-124,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/de53aa36-9cec-421f-8978-4ada55821881/blazer-mid-77-vintage-mens-shoes-nw30B2.png"
Nike Air Max 1,$140,Men's Shoes,2 Colors,https://www.nike.com/t/air-max-1-mens-shoes-9V62CZ/FD9082-100,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/0fd1487b-306c-4b70-a96a-cd6ac99e7d61/air-max-1-mens-shoes-9V62CZ.png"
Nike Air Huarache,$125,Men's Shoes,11 Colors,https://www.nike.com/t/air-huarache-mens-shoes-JppwBb/DD1068-008,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d4307d26-7193-4f07-b10a-3beb37b3fd88/air-huarache-mens-shoes-JppwBb.png"
Nike Air Max 270,$160,Men's Shoes,6 Colors,https://www.nike.com/t/air-max-270-mens-shoes-KkLcGR/AH8050-100,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/209889d9-4910-4f06-9d07-18afa558b566/air-max-270-mens-shoes-KkLcGR.png"
Nike Air Max 90,$130,Men's Shoes,5 Colors,https://www.nike.com/t/air-max-90-mens-shoes-6n3vKB/CN8490-001,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/baa2520d-49da-4a27-ab2c-7fb133fb3008/air-max-90-mens-shoes-6n3vKB.png"
Nike Dunk Low,$120,Men's Shoes,1 Color,https://www.nike.com/t/dunk-low-mens-shoes-C0N2DF/FN6881-100,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/f758267c-ee83-4a7d-83cc-4b045b77ddda/dunk-low-mens-shoes-C0N2DF.png"
Nike Dunk Low Premium,$120,Men's Shoes,1 Color,https://www.nike.com/t/dunk-low-premium-mens-shoes-HHCWhk/FN6834-412,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/f2688aab-0e11-4343-8b64-3713a2ea568d/dunk-low-premium-mens-shoes-HHCWhk.png"
Nike Ultrafly,$260,Men's Trail Running Shoes,1 Color,https://www.nike.com/t/ultrafly-mens-trail-running-shoes-K8vfLD/DX1978-100,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/6a0ec91e-e95c-46bd-967d-8fc92cda9e7b/ultrafly-mens-trail-running-shoes-K8vfLD.png"
"Nike Pegasus 40 ""Eliud Kipchoge""",$130,Road Running Shoes,16 Colors,https://www.nike.com/t/pegasus-40-eliud-kipchoge-road-running-shoes-mVJdmS/FJ0686-100,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/84cdecfe-c952-432b-9e01-b22126cfe197/pegasus-40-eliud-kipchoge-road-running-shoes-mVJdmS.png"
"Ja 1 ""Wet Cement""",$110,Basketball Shoes,3 Colors,https://www.nike.com/t/ja-1-wet-cement-basketball-shoes-bCx2W3/DR8785-100,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5615d881-6725-422a-b97b-82835fa62411/ja-1-wet-cement-basketball-shoes-bCx2W3.png"
Freak 5,$130,Basketball Shoes,5 Colors,https://www.nike.com/t/freak-5-basketball-shoes-jZzrx4/DX4985-100,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/95ad0a68-0e88-4023-b4ab-4c7482eea9d4/freak-5-basketball-shoes-jZzrx4.png"
,,,,,None
